State, Community Name,Population,AgePct16t24,NumbUrban,NumUnderPov,PctNotHSGrad,PctUnemployed,PctWorkMom,perCapInc,ViolentCrimesPerPop
8,Lakewood City,0.19,0.29,0.2,0.08,0.18,0.27,0.76,0.4,0.2
53,Tukwila City,0,0.35,0.02,0.01,0.24,0.27,0.53,0.37,0.67
24,Aberdeen Town,0,0.28,0,0.01,0.43,0.36,0.67,0.27,0.43
34,Willingboro Township,0.04,0.34,0.06,0.01,0.25,0.33,0.86,0.36,0.12
42,Bethlehem Township,0.01,0.23,0.02,0,0.3,0.12,0.6,0.43,0.03
6,SouthPasadena City,0.02,0.27,,0.01,0.12,0.1,0.43,0.72,0.14
44,Lincoln Town,0.01,0.23,0.02,0.01,0.41,0.28,0.62,0.47,0.03
6,Selma City,0.01,0.36,0,0.03,0.82,1,0.27,0.1,0.55
21,Henderson City,0.03,0.28,0.04,0.04,0.59,0.55,0.64,0.23,0.53
29,Clayton City,0.01,0.8,0.02,0,0.03,0.11,0.71,0.89,0.15
6,Daly City,0.13,0.35,0.15,0.06,0.36,0.32,0.81,0.33,0.24
36,Rockville Centre Village,0.02,0.22,0.04,0.01,0.19,0.18,0.39,0.72,0.08
25,Needham Town,0.03,0.2,0.04,0.01,0.07,0.24,0.48,0.78,0.06
55,GrandChute Town,0.01,0.32,0.02,0,0.22,0.13,0.6,0.41,0.09
6,Dana Point City,0.04,0.3,0.05,0.02,0.14,0.19,0.3,0.79,0.21
19,FortDodge City,0.03,0.28,0,0.03,0.37,0.32,0.71,0.22,0.3
36,Albany City,0.15,0.65,0.16,0.15,0.38,0.37,0.65,0.29,0.49
34,DenvilleTownship,0.01,0.27,0.02,0,0.18,0.11,0.48,0.69,0.07
18,Valparaiso City,0.02,0.63,0,0.02,,0.19,,0.34,0.15
42,Rostraver Township,0,0.24,0.01,0.01,0.38,0.72,0.31,0.22,0.03
6,Modesto City,0.25,0.28,0.26,0.19,0.43,0.59,0.3,0.29,0.34
12,Jacksonville City,1,0.34,1,0.76,0.39,0.3,0.56,0.3,0.69
41,Klamath Falls City,0.01,0.43,0,0.03,0.42,0.63,0.48,0.2,0.21
19,Sioux City,0.11,0.31,,0.1,0.37,0.33,0.71,0.25,0.63
6,Delano City,0.02,0.39,0,0.05,1,1,0.47,0.08,0.31
8,Golden City,0,0.53,0.02,0.01,0.18,0.3,0.67,0.34,0.12
6,Gardena City,0.06,0.32,0.08,0.04,0.46,0.35,0.49,0.32,0.84
39,Perry  Township,0.01,0.23,0,0.02,0.45,0.34,0.42,0.23,0.1
54,Beckley City,0.01,0.22,0,0.03,0.49,0.54,0.4,0.25,0.49
9,EastHampton Town,0,0.23,0,0,0.27,0.22,0.82,0.48,0.02
1,Cullman City,0.01,0.27,0,0.02,0.61,0.24,0.54,0.25,0.16
19,DesMoines City,0.29,0.35,0.31,0.22,0.31,0.28,0.74,0.29,0.19
1,Auburn City,0.04,1,0.05,0.11,0.18,0.42,0.69,0.17,0.15
