No,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Jenis Bencana,Tanggal,Meninggal,Hilang,Terluka,Mengungsi
15895,11,PEMERINTAH ACEH,1171,KOTA BANDA ACEH,GEMPA BUMI DAN TSUNAMI,26/12/2004,77804,0,0,34146
15885,11,PEMERINTAH ACEH,1108,ACEH BESAR,GEMPA BUMI DAN TSUNAMI,26/12/2004,47784,0,0,116984
15893,11,PEMERINTAH ACEH,1116,ACEH JAYA,GEMPA BUMI DAN TSUNAMI,26/12/2004,19661,143,0,29273
15884,11,PEMERINTAH ACEH,1107,ACEH BARAT,GEMPA BUMI DAN TSUNAMI,26/12/2004,11830,3024,0,59584
15886,11,PEMERINTAH ACEH,1109,PIDIE,GEMPA BUMI DAN TSUNAMI,26/12/2004,4646,1463,0,31078
15888,11,PEMERINTAH ACEH,1111,ACEH UTARA,GEMPA BUMI DAN TSUNAMI,26/12/2004,2238,488,384,28268
15887,11,PEMERINTAH ACEH,1110,BIREUEN,GEMPA BUMI DAN TSUNAMI,26/12/2004,1202,59,276,26758
15892,11,PEMERINTAH ACEH,1115,NAGAN RAYA,GEMPA BUMI DAN TSUNAMI,26/12/2004,493,845,0,10659
15898,11,PEMERINTAH ACEH,1174,KOTA LHOKSEUMAWE,GEMPA BUMI DAN TSUNAMI,26/12/2004,394,10,15,20084
15882,11,PEMERINTAH ACEH,1105,ACEH TIMUR,GEMPA BUMI DAN TSUNAMI,26/12/2004,224,0,6,2356
15883,11,PEMERINTAH ACEH,1106,ACEH TENGAH,GEMPA BUMI DAN TSUNAMI,26/12/2004,192,7,258,4005
17619,11,PEMERINTAH ACEH,1105,ACEH TIMUR,GEMPA BUMI,4/6/2000,99,0,0,0
18099,11,PEMERINTAH ACEH,1101,SIMEULUE,KLB,19/9/1978,82,0,0,0
17887,11,PEMERINTAH ACEH,1105,ACEH TIMUR,KEBAKARAN,25/6/1998,45,0,0,0
15633,11,PEMERINTAH ACEH,1101,SIMEULUE,GEMPA BUMI,28/3/2005,37,0,0,53541
2547,11,PEMERINTAH ACEH,1106,ACEH TENGAH,GEMPA BUMI,2/7/2013,35,0,2418,48563
14354,11,PEMERINTAH ACEH,1114,ACEH TAMIANG,BANJIR DAN TANAH LONGSOR,24/12/2006,28,0,0,53174
15881,11,PEMERINTAH ACEH,1104,ACEH TENGGARA,GEMPA BUMI DAN TSUNAMI,26/12/2004,26,146,0,0
18101,11,PEMERINTAH ACEH,1107,ACEH BARAT,BANJIR,0/5/1978,24,0,0,4000
15634,11,PEMERINTAH ACEH,1102,ACEH SINGKIL,GEMPA BUMI,28/3/2005,22,0,0,24742
18107,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,16/12/1977,21,0,12,1500
15327,11,PEMERINTAH ACEH,1104,ACEH TENGGARA,BANJIR,18/10/2005,20,0,251,3675
15572,11,PEMERINTAH ACEH,1104,ACEH TENGGARA,BANJIR DAN TANAH LONGSOR,27/4/2005,15,29,18,750
17270,11,PEMERINTAH ACEH,1112,ACEH BARAT DAYA,BANJIR,19/11/2002,14,60,0,0
7485,11,PEMERINTAH ACEH,1109,PIDIE,BANJIR,10/3/2011,12,0,2,2
15896,11,PEMERINTAH ACEH,1172,KOTA SABANG,GEMPA BUMI DAN TSUNAMI,26/12/2004,12,2,64,3939
8960,11,PEMERINTAH ACEH,1113,GAYO LUES,BANJIR,6/6/2010,12,0,39,0
15894,11,PEMERINTAH ACEH,1117,BENER MERIAH,GEMPA BUMI DAN TSUNAMI,26/12/2004,10,0,3,1204
18183,11,PEMERINTAH ACEH,1171,KOTA BANDA ACEH,GEMPA BUMI,23/8/1936,9,0,20,0
18184,11,PEMERINTAH ACEH,1174,LHOKSEUMAWE,GEMPA BUMI,23/8/1936,9,0,20,0
15889,11,PEMERINTAH ACEH,1112,ACEH BARAT DAYA,GEMPA BUMI DAN TSUNAMI,26/12/2004,9,0,3,13600
18182,11,PEMERINTAH ACEH,1171,KOTA BANDA ACEH,GEMPA BUMI,5/9/1936,9,0,20,0
13235,11,PEMERINTAH ACEH,1102,ACEH SINGKIL,TANAH LONGSOR,1/2/2008,8,1,0,0
2548,11,PEMERINTAH ACEH,1117,BENER MERIAH,GEMPA BUMI,2/7/2013,8,0,114,4776
4929,11,PEMERINTAH ACEH,1108,ACEH BESAR,GEMPA BUMI DAN TSUNAMI,11/4/2012,7,0,4,0
